tax	#sample ID	Dothideomycetes	Sordariomycetes	Tremellomycetes	Eurotiomycetes	Cystobasidiomycetes	unclassified_k__Fungi	Leotiomycetes	Agaricomycetes	Arthoniomycetes	others
Mid_latitudes	M18	0.879181545	0.006775778	0.05068428	0.006105512	0.0050209	0.006251752	0.030113214	0.012978783	0.000487466	0.002400717
Mid_latitudes	M19	0.919641817	0.011167004	0.016698107	0.007568877	0.009560074	0.005042036	0.018607792	0.004622837	0.000174666	0.006916845
Mid_latitudes	M20	0.87214959	0.059501368	0.011908381	0.009709131	0.00979021	0.007874734	0.016823756	0.008665248	5.07E-05	0.003526825
Mid_latitudes	M21	0.953890336	0.01624257	0.002684833	0.005062446	0.003699993	0.004568223	0.002284111	0.009510452	0	0.002057002
High_latitudes	H1	0.570357882	0.131974463	0.015205389	0.079974112	0.006440117	0.018281623	0.165964859	0.004666288	0.00071113	0.00642432
High_latitudes	H2	0.820944282	0.042412253	0.029812523	0.021267689	0.002757987	0.02034836	0.049651968	0.002930361	0.004383229	0.005491348
High_latitudes	H3	0.724866478	0.023993517	0.023603079	0.141264872	0.010291355	0.017562341	0.04729456	0.002232126	0.001178681	0.007713053
High_latitudes	H4	0.74704766	0.070180022	0.013299936	0.02309625	0.003757174	0.013906923	0.114843528	0.003849375	0.002896635	0.007122643
High_latitudes	H5	0.803290617	0.055736346	0.036352428	0.028904071	0.002314347	0.012087157	0.04488216	0.008974411	0.004386142	0.00307227
High_latitudes	H6	0.837401806	0.088202288	0.011561943	0.016740623	0.002666557	0.015052147	0.011088346	0.009821989	0.004180008	0.003284354
High_latitudes	H7	0.825530573	0.033856658	0.023886666	0.06958337	0.003098634	0.007523702	0.028409585	0.004772984	0.001054623	0.002283195
High_latitudes	H8	0.883944023	0.042207029	0.006441619	0.038788591	0.001933554	0.004048713	0.016034612	0.003450486	0.000758466	0.002392985
High_latitudes	H9	0.993266233	0.001268509	0.002667425	0.001007694	0.000130407	0.000177828	0.000367512	0.000580906	3.56E-05	0.000497878
High_latitudes	H10	0.916009959	0.014287672	0.029843075	0.006372919	0.001050732	0.006350077	0.019404281	0.001016469	0.00125631	0.004408538
High_latitudes	H11	0.861107531	0.012037083	0.017837489	0.071300382	0.011650389	0.005810322	0.013335977	0.000773388	5.95E-05	0.006087906
High_latitudes	H12	0.775025724	0.079303249	0.039047899	0.054986246	0.00341236	0.009670104	0.016326831	0.011980009	0.001658932	0.008588652
High_latitudes	H13	0.939669493	0.014336057	0.022373083	0.007902595	0.000758572	0.004484219	0.002294921	0.00594375	0.000172839	0.002064422
High_latitudes	H14	0.88712606	0.019834301	0.006369996	0.005447239	0.000396884	0.020985266	0.029815945	0.015210597	0.003502505	0.011311242
High_latitudes	H15	0.709376064	0.003128996	0.252555561	0.003360297	0.008853708	0.007337398	0.00452323	0.006341517	0	0.004523329
High_latitudes	H16	0.651034698	0.005849781	0.277371407	0.003584089	0.022422532	0.012656621	0.007431858	0.008427981	0.000410168	0.010810984
High_latitudes	H17	0.751914878	0.002697808	0.195392974	0.002292193	0.004867374	0.014922839	0.003122288	0.019507226	0.000792363	0.004490064
High_latitudes	H18	0.902692338	0.010082288	0.011440441	0.013493649	0.000671087	0.045921547	0.002947991	0.004633698	0.00166174	0.006455228
High_latitudes	H19	0.745036243	0.014318731	0.11756487	0.002216619	0	0.1039605	0.001449732	0.001502259	0.010368736	0.003582309
High_latitudes	H20	0.806735577	0.042176142	0.03988613	0.024664902	0.001932854	0.034423715	0.034602294	0.003298458	0.006449851	0.005830007
High_latitudes	H21	0.91248074	0.012392025	0.01828454	0.006919737	0.001736938	0.015324275	0.012494747	0.008806089	0.00615399	0.005406945
